"pattern";"theoretical_intensity";"my_kappa";"my_mu";"my_scale";"expect_disp_ind"
"int5_disp46";5;0,02236068;223,6067977;1,040625;46,04498649
"int5_disp47";5;0,02236068;223,6067977;1,028125;46,99369783
"int5_disp48";5;0,02236068;223,6067977;1,0125;48,0234028
"int5_disp49";5;0,02236068;223,6067977;0,99921875;49,04373271
"int5_disp50";5;0,02236068;223,6067977;0,9875;50,01897207
"int5_disp51";5;0,02236068;223,6067977;0,975;50,96998702
"int5_disp52";5;0,02236068;223,6067977;0,9625;51,9974768
"int5_disp53";5;0,02236068;223,6067977;0,949438477;52,95960617
"int5_disp54";5;0,02236068;223,6067977;0,9375;53,96295932
"int5_disp55";5;0,02236068;223,6067977;0,92578125;55,00213032
"int5_disp56";5;0,02236068;223,6067977;0,9125;56,03729501
"int5_disp57";5;0,02236068;223,6067977;0,9;57,03283968
"int5_disp58";5;0,02236068;223,6067977;0,891796875;57,98427357
"int5_disp59";5;0,02236068;223,6067977;0,880810547;58,96253737
"int5_disp60";5;0,02236068;223,6067977;0,87109375;59,95820579
"int5_disp61";5;0,02236068;223,6067977;0,861328125;61,01252885
"int5_disp62";5;0,02236068;223,6067977;0,851367188;62,04466132
"int5_disp63";5;0,02236068;223,6067977;0,8421875;63,00315937
"int5_disp64";5;0,02236068;223,6067977;0,832421875;63,9922276
"int5_disp65";5;0,02236068;223,6067977;0,823440552;64,96784072
"int5_disp66";5;0,02236068;223,6067977;0,813476563;65,95819386
"int5_disp67";5;0,02236068;223,6067977;0,8046875;67,00912914
"int5_disp68";5;0,02236068;223,6067977;0,7953125;67,97442436
"int5_disp69";5;0,02236068;223,6067977;0,78671875;69,03006616
"int5_disp70";5;0,02236068;223,6067977;0,778125;69,98413166
"int5_disp71";5;0,02236068;223,6067977;0,7703125;70,96007265
"int5_disp72";5;0,02236068;223,6067977;0,762304688;72,02977119
"int5_disp73";5;0,02236068;223,6067977;0,753904724;72,97753929
"int5_disp74";5;0,02236068;223,6067977;0,746875;73,9877863
"int5_disp75";5;0,02236068;223,6067977;0,7390625;74,9701671
"int6_disp2";6;0,024494897;244,9489743;8,5;1,990403894
"int6_disp3";6;0,024494897;244,9489743;6;2,959318619
"int6_disp4";6;0,024494897;244,9489743;5;3,973664368
"int6_disp5";6;0,024494897;244,9489743;4,21875;4,992458044
"int6_disp6";6;0,024494897;244,9489743;3,75;6,031289583
"int6_disp7";6;0,024494897;244,9489743;3,421875;6,992964697
"int6_disp8";6;0,024494897;244,9489743;3,15625;7,986543247
"int6_disp9";6;0,024494897;244,9489743;2,9375;9,03357915
"int6_disp10";6;0,024494897;244,9489743;2,75;10,02123707
"int6_disp11";6;0,024494897;244,9489743;2,609375;10,96697318
"int6_disp12";6;0,024494897;244,9489743;2,4765625;12,04198666
"int6_disp13";6;0,024494897;244,9489743;2,359375;13,03471295
"int6_disp14";6;0,024494897;244,9489743;2,265625;13,96178201
"int6_disp15";6;0,024494897;244,9489743;2,171875;15,01578601
"int6_disp16";6;0,024494897;244,9489743;2,09375;15,95724295
"int6_disp17";6;0,024494897;244,9489743;2,01953125;17,00002935
"int6_disp18";6;0,024494897;244,9489743;1,9515625;18,00763829
"int6_disp19";6;0,024494897;244,9489743;1,890625;18,98949723
"int6_disp20";6;0,024494897;244,9489743;1,834375;20,04328381
"int6_disp21";6;0,024494897;244,9489743;1,78125;21,01539131
"int6_disp22";6;0,024494897;244,9489743;1,73125;22,03673583
"int6_disp23";6;0,024494897;244,9489743;1,6875;22,99080344
"int6_disp24";6;0,024494897;244,9489743;1,64375;23,97623174
"int6_disp25";6;0,024494897;244,9489743;1,60625;25,01637471
"int6_disp26";6;0,024494897;244,9489743;1,565625;26,02732327
"int6_disp27";6;0,024494897;244,9489743;1,53359375;26,98473325
"int6_disp28";6;0,024494897;244,9489743;1,5;27,98414985
"int6_disp29";6;0,024494897;244,9489743;1,46953125;29,02787242
"int6_disp30";6;0,024494897;244,9489743;1,4390625;30,00749545
"int6_disp31";6;0,024494897;244,9489743;1,41171875;30,9870024
"int6_disp32";6;0,024494897;244,9489743;1,384375;31,98048829
"int6_disp33";6;0,024494897;244,9489743;1,359375;33,00060517
"int6_disp34";6;0,024494897;244,9489743;1,334375;33,95230061
"int6_disp35";6;0,024494897;244,9489743;1,309667969;35,0138953
"int6_disp36";6;0,024494897;244,9489743;1,2875;35,97575663
"int6_disp37";6;0,024494897;244,9489743;1,265527344;37,02176775
"int6_disp38";6;0,024494897;244,9489743;1,246875;37,98505807
"int6_disp39";6;0,024494897;244,9489743;1,226000977;39,03238462
"int6_disp40";6;0,024494897;244,9489743;1,205126953;39,95453567
"int6_disp41";6;0,024494897;244,9489743;1,1875;41,03423541
"int6_disp42";6;0,024494897;244,9489743;1,1703125;41,96356098
"int6_disp43";6;0,024494897;244,9489743;1,153125;42,96904885
"int6_disp44";6;0,024494897;244,9489743;1,1359375;44,01987831
"int6_disp45";6;0,024494897;244,9489743;1,1203125;44,97335171
"int6_disp46";6;0,024494897;244,9489743;1,1;46,02929228
"int6_disp47";6;0,024494897;244,9489743;1,090625;46,98077183
"int6_disp48";6;0,024494897;244,9489743;1,075;48,00541091
"int6_disp49";6;0,024494897;244,9489743;1,0609375;48,99129666
"int6_disp50";6;0,024494897;244,9489743;1,046875;49,95653996
"int6_disp51";6;0,024494897;244,9489743;1,03359375;51,02931191
"int6_disp52";6;0,024494897;244,9489743;1,01875;51,97012829
"int6_disp53";6;0,024494897;244,9489743;1,00625;53,0361709
"int6_disp54";6;0,024494897;244,9489743;0,99375;54,00304968
"int6_disp55";6;0,024494897;244,9489743;0,98203125;55,00166573
"int6_disp56";6;0,024494897;244,9489743;0,971875;55,95763015
"int6_disp57";6;0,024494897;244,9489743;0,959472656;57,02569875
"int6_disp58";6;0,024494897;244,9489743;0,9484375;58,02781246
"int6_disp59";6;0,024494897;244,9489743;0,9375;58,98572125
"int6_disp60";6;0,024494897;244,9489743;0,9265625;60,0481084
"int6_disp61";6;0,024494897;244,9489743;0,91640625;61,00399399
"int6_disp62";6;0,024494897;244,9489743;0,90625;62,01874961
"int6_disp63";6;0,024494897;244,9489743;0,896875;62,99161739
"int6_disp64";6;0,024494897;244,9489743;0,8859375;63,97107713
"int6_disp65";6;0,024494897;244,9489743;0,876171875;64,99971939
"int6_disp66";6;0,024494897;244,9489743;0,8671875;65,96512135
"int6_disp67";6;0,024494897;244,9489743;0,859375;66,95822807
"int6_disp68";6;0,024494897;244,9489743;0,848828125;68,04467859
"int6_disp69";6;0,024494897;244,9489743;0,841015625;68,96163134
"int6_disp70";6;0,024494897;244,9489743;0,831201172;69,9973272
"int6_disp71";6;0,024494897;244,9489743;0,82265625;71,03267483
"int6_disp72";6;0,024494897;244,9489743;0,816406274;71,98165552
