"";"y";"x";"count"
"706";6;8;0
"707";7;8;2
"708";8;8;1
"709";9;8;2
"710";10;8;0
"711";11;8;2
"712";12;8;1
"713";13;8;0
"714";14;8;0
"715";15;8;0
"716";16;8;0
"717";17;8;1
"718";18;8;0
"719";19;8;2
"720";20;8;0
"721";21;8;1
"722";22;8;1
"723";23;8;0
"724";24;8;0
"725";25;8;1
"726";26;8;0
"727";27;8;0
"728";28;8;0
"729";29;8;0
"730";30;8;0
"731";31;8;0
"732";32;8;1
"733";33;8;3
"734";34;8;1
"735";35;8;0
"736";36;8;0
"737";37;8;0
"738";38;8;0
"739";39;8;0
"740";40;8;0
"741";41;8;0
"742";42;8;0
"743";43;8;0
"744";44;8;1
"745";45;8;0
"746";46;8;0
"747";47;8;1
"748";48;8;1
"749";49;8;0
"750";50;8;0
"751";51;8;2
"752";52;8;0
"753";53;8;1
"754";54;8;0
"755";55;8;0
"756";56;8;0
"757";57;8;0
"758";58;8;1
"759";59;8;2
"760";60;8;2
"761";61;8;4
"762";62;8;3
"763";63;8;4
"764";64;8;8
"765";65;8;7
"766";66;8;7
"767";67;8;8
"768";68;8;3
"769";69;8;3
"770";70;8;5
"771";71;8;8
"772";72;8;3
"773";73;8;7
"774";74;8;3
"775";75;8;18
"776";76;8;5
"777";77;8;16
"778";78;8;16
"779";79;8;12
"780";80;8;6
"781";81;8;2
"782";82;8;1
"783";83;8;3
"784";84;8;5
"785";85;8;2
"786";86;8;2
"787";87;8;2
"788";88;8;1
"789";89;8;1
"790";90;8;0
"791";91;8;0
"792";92;8;0
"793";93;8;1
"794";94;8;0
"795";95;8;0
"796";96;8;0
"797";97;8;1
"798";98;8;2
"799";99;8;1
"800";100;8;1
"801";1;9;0
"802";2;9;1
"803";3;9;2
"804";4;9;8
"805";5;9;2
"806";6;9;1
"807";7;9;12
"808";8;9;2
"809";9;9;1
"810";10;9;0
"811";11;9;0
"812";12;9;1
"813";13;9;2
"814";14;9;4
"815";15;9;1
"816";16;9;2
"817";17;9;1
"818";18;9;5
"819";19;9;3
"820";20;9;0
"821";21;9;0
"822";22;9;0
"823";23;9;0
"824";24;9;0
"825";25;9;0
"826";26;9;1
"827";27;9;0
"828";28;9;1
"829";29;9;0
"830";30;9;0
"831";31;9;0
"832";32;9;0
"833";33;9;0
"834";34;9;3
"835";35;9;0
"836";36;9;1
"837";37;9;1
"838";38;9;1
"839";39;9;0
"840";40;9;0
"841";41;9;0
"842";42;9;0
"843";43;9;0
"844";44;9;0
"845";45;9;0
"846";46;9;0
"847";47;9;1
"848";48;9;0
"849";49;9;0
"850";50;9;0
"851";51;9;0
"852";52;9;0
"853";53;9;0
"854";54;9;0
"855";55;9;0
"856";56;9;0
"857";57;9;0
"858";58;9;1
"859";59;9;3
"860";60;9;1
"861";61;9;2
"862";62;9;2
"863";63;9;3
"864";64;9;3
"865";65;9;3
"866";66;9;7
"867";67;9;7
"868";68;9;9
"869";69;9;2
"870";70;9;3
"871";71;9;5
"872";72;9;2
"873";73;9;6
"874";74;9;7
"875";75;9;5
"876";76;9;7
"877";77;9;8
"878";78;9;14
"879";79;9;7
"880";80;9;10
"881";81;9;2
"882";82;9;5
"883";83;9;6
"884";84;9;8
"885";85;9;4
"886";86;9;4
"887";87;9;1
"888";88;9;0
"889";89;9;0
"890";90;9;2
"891";91;9;1
"892";92;9;0
"893";93;9;1
"894";94;9;0
"895";95;9;0
"896";96;9;0
"897";97;9;0
"898";98;9;1
"899";99;9;0
"900";100;9;0
"901";1;10;2
"902";2;10;5
"903";3;10;6
"904";4;10;1
"905";5;10;0
"906";6;10;2
"907";7;10;5
"908";8;10;2
"909";9;10;0
"910";10;10;1
"911";11;10;3
"912";12;10;1
"913";13;10;3
"914";14;10;1
"915";15;10;0
"916";16;10;2
"917";17;10;0
"918";18;10;1
"919";19;10;4
"920";20;10;0
"921";21;10;1
"922";22;10;0
"923";23;10;0
"924";24;10;0
"925";25;10;0
"926";26;10;0
"927";27;10;0
"928";28;10;0
"929";29;10;1
"930";30;10;0
"931";31;10;0
"932";32;10;0
"933";33;10;2
"934";34;10;0
"935";35;10;0
"936";36;10;0
"937";37;10;0
"938";38;10;0
"939";39;10;0
"940";40;10;0
"941";41;10;0
"942";42;10;0
"943";43;10;0
"944";44;10;0
"945";45;10;0
"946";46;10;0
"947";47;10;0
"948";48;10;1
"949";49;10;1
"950";50;10;0
"951";51;10;1
"952";52;10;0
"953";53;10;0
"954";54;10;0
"955";55;10;1
"956";56;10;1
"957";57;10;0
"958";58;10;0
"959";59;10;0
"960";60;10;1
"961";61;10;2
"962";62;10;4
"963";63;10;1
"964";64;10;2
"965";65;10;3
"966";66;10;8
"967";67;10;9
"968";68;10;7
"969";69;10;4
"970";70;10;7
"971";71;10;8
"972";72;10;4
"973";73;10;3
"974";74;10;0
"975";75;10;6
"976";76;10;11
"977";77;10;8
"978";78;10;4
"979";79;10;8
"980";80;10;9
"981";81;10;2
"982";82;10;2
"983";83;10;1
"984";84;10;2
"985";85;10;12
"986";86;10;3
"987";87;10;1
"988";88;10;1
"989";89;10;5
"990";90;10;0
"991";91;10;1
"992";92;10;0
"993";93;10;1
"994";94;10;0
"995";95;10;0
"996";96;10;0
"997";97;10;0
"998";98;10;1
"999";99;10;0
"1000";100;10;1
"1001";1;11;1
"1002";2;11;10
"1003";3;11;6
"1004";4;11;2
"1005";5;11;3
"1006";6;11;2
"1007";7;11;1
"1008";8;11;2
"1009";9;11;3
"1010";10;11;2
"1011";11;11;3
"1012";12;11;5
"1013";13;11;8
"1014";14;11;8
"1015";15;11;14
"1016";16;11;2
"1017";17;11;1
"1018";18;11;1
"1019";19;11;3
"1020";20;11;0
"1021";21;11;1
"1022";22;11;0
"1023";23;11;0
"1024";24;11;1
"1025";25;11;2
"1026";26;11;0
"1027";27;11;0
"1028";28;11;1
"1029";29;11;0
"1030";30;11;1
"1031";31;11;1
"1032";32;11;1
"1033";33;11;2
"1034";34;11;2
"1035";35;11;0
"1036";36;11;1
"1037";37;11;0
"1038";38;11;0
"1039";39;11;0
"1040";40;11;2
"1041";41;11;0
"1042";42;11;0
"1043";43;11;0
"1044";44;11;0
"1045";45;11;0
"1046";46;11;1
"1047";47;11;0
"1048";48;11;1
"1049";49;11;0
"1050";50;11;0
"1051";51;11;0
"1052";52;11;0
"1053";53;11;2
"1054";54;11;0
"1055";55;11;0
"1056";56;11;0
"1057";57;11;1
"1058";58;11;0
"1059";59;11;0
"1060";60;11;3
"1061";61;11;4
"1062";62;11;5
"1063";63;11;4
"1064";64;11;2
"1065";65;11;6
"1066";66;11;9
"1067";67;11;6
"1068";68;11;1
"1069";69;11;7
"1070";70;11;10
"1071";71;11;7
"1072";72;11;4
"1073";73;11;4
"1074";74;11;6
"1075";75;11;4
"1076";76;11;7
"1077";77;11;2
"1078";78;11;4
"1079";79;11;2
"1080";80;11;7
"1081";81;11;0
"1082";82;11;4
"1083";83;11;12
"1084";84;11;1
"1085";85;11;1
"1086";86;11;3
"1087";87;11;0
"1088";88;11;1
"1089";89;11;1
"1090";90;11;1
"1091";91;11;4
"1092";92;11;0
"1093";93;11;0
"1094";94;11;1
"1095";95;11;0
"1096";96;11;0
"1097";97;11;1
"1098";98;11;3
"1099";99;11;0
"1100";100;11;0
"1101";1;12;6
"1102";2;12;5
"1103";3;12;0
"1104";4;12;1
"1105";5;12;1
"1106";6;12;2
"1107";7;12;0
"1108";8;12;0
"1109";9;12;3
"1110";10;12;2
"1111";11;12;2
"1112";12;12;21
"1113";13;12;6
"1114";14;12;3
"1115";15;12;6
"1116";16;12;9
"1117";17;12;0
"1118";18;12;0
"1119";19;12;4
"1120";20;12;4
"1121";21;12;2
"1122";22;12;0
"1123";23;12;0
"1124";24;12;1
